user_login,user_email,first_name,last_name,user_pass,wp_role,learndash_courses,learndash_groups,display_name,group_leader
aflinch,aflinch@mymail.com,Adrian,Flinch,4rV4Z1lQ9Jeg,subscriber,1;2;3,1;2;3,Adrian Flinch,1;2;3
asmith,asmith@mymail.com,Alan,Smith,c7NA1gZId6GP,subscriber,1;2;3,1;2;3,Alan Smith,1;2;3
aconnelly,aconnelly@mymail.com,Alex,Connelly,2V2bdbYFG42t,subscriber,1;2;3,1;2;3,Alex Connelly,1;2;3
abarnes,abarnes@mymail.com,Ally,Barnes,56cS9SK6HFdU,subscriber,1;2;3,1;2;3,Ally Barnes,1;2;3
acook,acook@mymail.com,Alice,Cook,68cflpn9WbTW,subscriber,1;2;3,1;2;3,Alice Cook,1;2;3
awu,awu@mymail.com,Amber,Wu,91GDgBmLbJ3t,subscriber,1;2;3,1;2;3,Amber Wu,1;2;3
acooper,acooper@mymail.com,Andy,Cooper,p468Dg9OxrOP,subscriber,1;2;3,1;2;3,Andy Cooper,1;2;3
amiller,amiller@mymail.com,Anne,Miller,wDVb15B2RLHC,subscriber,1;2;3,1;2;3,Anne Miller,1;2;3
aryans,aryans@mymail.com,Annie,Ryans,7vAFQUz0fSV8,subscriber,1;2;3,1;2;3,Annie Ryans,1;2;3
ajones,ajones@mymail.com,Arthur,Jones,89PQLDxDBU7K,subscriber,1;2;3,1;2;3,Arthur Jones,1;2;3
